RAM,Battery,Rear Camera,Front Camera,Display,Launch Date,Fabrication,Pixel Density,Refresh Rate,Internal Memory,SIM Slot(s),Price,Brand,Processor,Operating System,Graphics,Display Type,Quick Charging,USB Type-C,Expandable Memory,Audio Jack,Fingerprint Sensor
0.6666666666666666,0.6363636363636364,1.0,0.4,0.7555555555555555,1.0,0.1111111111111111,0.5577889447236182,0.7142857142857142,0.49206349206349204,1.0,0.16091954022988506,36.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.6363636363636364,1.0,0.4,0.75,0.9090909090909065,0.1111111111111111,0.5628140703517588,0.7142857142857142,0.49206349206349204,1.0,0.2160919540229885,52.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
0.3333333333333333,0.6363636363636364,0.4368932038834951,0.2,0.7611111111111113,1.0,0.4444444444444444,0.5527638190954773,0.3571428571428572,0.23809523809523808,1.0,0.034482758620689655,52.0,7.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6666666666666666,0.6363636363636364,0.4368932038834951,0.4,0.7611111111111113,1.0,0.0,0.706030150753769,0.7142857142857142,0.49206349206349204,1.0,0.3908045977011494,36.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.6666666666666666,0.6363636363636364,0.5728155339805825,0.4,0.7416666666666667,1.0,0.0,0.5653266331658291,0.7142857142857142,1.0,1.0,0.27586206896551724,38.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.6666666666666666,0.5454545454545454,0.06796116504854369,0.8,0.6666666666666667,0.9090909090909065,0.05555555555555558,0.585427135678392,0.7142857142857142,0.49206349206349204,1.0,0.31264367816091954,40.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
0.3333333333333333,0.6363636363636364,0.5728155339805825,0.2,0.7555555555555555,1.0,0.4444444444444444,0.5577889447236182,0.3571428571428572,0.23809523809523808,1.0,0.057471264367816105,52.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3333333333333333,0.6363636363636364,0.4368932038834951,0.2,0.7166666666666668,1.0,0.16666666666666663,0.5804020100502514,0.0,0.49206349206349204,1.0,0.08045977011494254,53.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.6363636363636364,1.0,0.4,0.7555555555555555,0.9090909090909065,0.1111111111111111,0.5577889447236182,0.7142857142857142,0.49206349206349204,1.0,0.14942528735632185,52.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6666666666666666,0.6363636363636364,0.4368932038834951,0.8,0.6666666666666667,1.0,0.05555555555555558,0.585427135678392,0.7142857142857142,0.49206349206349204,1.0,0.3448275862068966,40.0,5.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0
